gameDate,player1Odds,player2Odds,playersNames,score,tournamentName
17 Jul 2019,1.37,3.19,Dobey Ch. - Robinson R.,5:6,Players Championship 20 Results & Historical Odds
17 Jul 2019,1.56,2.38,Smith R. - Justicia J.,0:6,Players Championship 20 Results & Historical Odds
17 Jul 2019,1.50,2.55,Evetts T. - Dudbridge M.,4:6,Players Championship 20 Results & Historical Odds
17 Jul 2019,1.90,1.90,Reyes C. - Payne J.,6:4,Players Championship 20 Results & Historical Odds
17 Jul 2019,1.33,3.40,Durrant G. - West S.,4:6,Players Championship 20 Results & Historical Odds
17 Jul 2019,1.27,1.27,White I. - Meeuwisse Y.,6:2,Players Championship 20 Results & Historical Odds
16 Jul 2019,-,,Hunt A. - Brooks B.,4:6,Players Championship 19 Results & Historical Odds
16 Jul 2019,-,,Rodriguez Row. J. - van den Bergh D.,1:6,Players Championship 19 Results & Historical Odds
16 Jul 2019,1.67,1.67,Anderson K. - Lennon S.,6:4,Players Championship 19 Results & Historical Odds
16 Jul 2019,1.58,1.58,Webster D. - Justicia J.,6:5,Players Championship 19 Results & Historical Odds
16 Jul 2019,1.73,2.09,Kanik T. - Dudbridge M.,5:6,Players Championship 19 Results & Historical Odds
16 Jul 2019,2.36,1.58,Whitehead C. - Huybrechts K.,2:6,Players Championship 19 Results & Historical Odds
16 Jul 2019,-,,Price G. - Pipe J.,3:6,Players Championship 19 Results & Historical Odds
16 Jul 2019,1.40,1.40,Wright P. - McGeeney M.,6:4,Players Championship 19 Results & Historical Odds
23 Sep 2012,2.35,1.56,Newton W. - Whitlock S.,5:11,European Championship 2012 Results & Historical Odds
23 Sep 2012,2.39,1.54,Huybrechts K. - Whitlock S.,9:11,European Championship 2012 Results & Historical Odds
23 Sep 2012,3.65,1.27,Dolan B. - Newton W.,9:11,European Championship 2012 Results & Historical Odds
